TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
2493,492493,113.3333333,413.5558631,3.649022322,110.6926008,0.333333333,0.333333333,0,0.333333333,1,46.66666667,0,0.333333333,4.00857177,0,47.00615619,10.67787284,76322,0,144,176,49,UTAH
2494,492494,337.6666667,1229.971324,3.642560683,44.69792966,0,7,0,0,0.666666667,0.333333333,0,0.333333333,0,0,5.665283602,30.69931273,76322,736.8888889,92.11111111,0,49,UTAH
2495,492495,0,0,0,523.9992634,169,72.33333333,6.666666667,15,20.66666667,26.33333333,7.666666667,119,3.006428827,0,84.3261679,0,56752,0,0,0,49,UTAH
2496,492496,250.6666667,745.3337763,2.973406023,206.0159081,3.333333333,0.666666667,9.333333333,2,11.33333333,104,2.666666667,20,2.004285885,0,27.98776937,22.69051956,56752,524,150,0,49,UTAH
2497,492497,362.6666667,1161.349425,3.202250252,275.0389302,0.333333333,2.333333333,17,1,11,83,87.66666667,25,0,0,14.67040639,33.03519045,56752,0,0,0,49,UTAH
2498,492498,137.6666667,431.3436981,3.133247202,129.3467336,20,67.66666667,1,2.333333333,2.666666667,7.333333333,1,9.666666667,0,0,4.999817924,12.68024901,61210,0,0,0,49,UTAH
2499,492499,232,716.8392907,3.089824529,226.0269836,16.66666667,12,87.33333333,10.66666667,5.666666667,20.33333333,1.333333333,33,0,0,18.00458966,21.02239392,46924,0,0,0,49,UTAH
2500,492500,207,639.6411875,3.090054046,221.0189413,2,19,1,58.33333333,57,8.333333333,29.33333333,24,0,0,3.332144234,18.68679707,48441,0,0,0,49,UTAH
2501,492501,489,1808.649421,3.698669572,82.70922913,0,0,0,0,0,0,0,0,0,0,38.32843249,44.38079665,60654,0,0,0,49,UTAH
2502,492502,364,1126.719438,3.095383071,395.3640503,61,66,11,2.666666667,1,39.66666667,28,101,0,0,51.66163174,33.36908523,48441,0,0,0,49,UTAH
2503,492503,384.3333333,1340.54649,3.487978725,927.7028906,94,26,74.66666667,26.33333333,8.666666667,426,19.33333333,197.3333333,0,0,20.33208424,35.03747301,46924,0,0,0,49,UTAH
2504,492504,273.6666667,775.9617825,2.835426733,191.3596894,26.33333333,47.33333333,0,0,18.33333333,8.666666667,0.666666667,64,0,0,0.999696656,25.02665943,45720,0,0,0,49,UTAH
2505,492505,390,1166.555051,2.991166797,223.7046391,13.66666667,34,1.333333333,0,10,44.33333333,3,81,0,0,0.66664239,35.70466335,32863,0,0,0,49,UTAH
2506,492506,386,1254.786293,3.250741691,124.0318027,0,0,0,0.666666667,0,18.66666667,0,10,0,0,59.66114615,35.03732321,43053,548,0,0,49,UTAH
