PUMA,DISTRICT,COUNTY
57001,1,1
57002,2,1
11001,3,2
11002,4,2
35001,5,3
35002,6,3
35003,7,3
35004,8,3
35005,9,3
35006,10,3
35007,11,3
35008,12,3
35009,13,3
49001,14,4
49002,15,4
49003,16,4
49004,17,4
