;Year,Airport,Lagoon,LDSBC,Westmin,UofU_Main,UofU_Med,WSU_Ogden,WSU_Davis,WSU_West,SLCC_TL,SLCC_SC,SLCC_JD,SLCC_Mead,SLCC_ML,SLCC_LB,SLCC_HL,SLCC_Airp,SLCC_West,SLCC_HM,BYU,UVU_main,UVU_Geneva,UVU_ThankP,UVU_VINE,UVU_PAYSON
2018,32263,7300,2847,3260,29110,5137,22755,6739,1235,16295,5508,6168,231,2342,1023,924,360,363,0,33158,36557,737,448,0,0
2019,32700,7434,2955,3268,29959,5287,23382,7366,1375,16627,5621,6294,236,2390,1043,942,380,370,0,33184,37931,755,455,0,0
