TAZ,BLKGRPCE,STATEFP,COUNTYFP,TRACT,GEOID,NAME,NAMELSAD,PUMA,REGION
79,1,49,3,960702,49003960702,9607.02,Census Tract 9607.02,3001,1
80,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
81,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
82,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
83,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
84,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
85,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
86,2,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
87,2,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
88,2,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
89,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
90,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
91,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
92,1,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
93,2,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
94,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
95,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
96,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
97,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
98,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
99,3,49,3,960802,49003960802,9608.02,Census Tract 9608.02,3001,1
100,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
101,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
102,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
103,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
104,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
105,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
106,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
107,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
108,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
109,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
110,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
111,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
112,2,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
113,3,49,3,960801,49003960801,9608.01,Census Tract 9608.01,3001,1
